Abrangência	Nome	Casos suspeitos	% Casos suspeitos	Casos confirmados	% Casos confirmados	Casos descartados	% Casos descartados	Óbitos	% Óbitos	Total	Transmissão local
Unidade da Federação	Rondônia (RO)	2	66,67	0	0	1	33,33	0	0	3	Não
Unidade da Federação	Acre (AC)	3	100	0	0	0	0	0	0	3	Não
Unidade da Federação	Amazonas (AM)	0	0	1	12,5	7	87,5	0	0	8	Não
Unidade da Federação	Roraima (RR)	2	100	0	0	0	0	0	0	2	Não
Unidade da Federação	Pará (PA)	1	4,17	0	0	23	95,83	0	0	24	Não
Unidade da Federação	Amapá (AP)	1	100	0	0	0	0	0	0	1	Não
Unidade da Federação	Tocantins (TO)	3	100	0	0	0	0	0	0	3	Não
Região	Norte	12	27,27	1	2,27	31	70,45	0	0	44	-
Unidade da Federação	Maranhão (MA)	6	75	0	0	2	25	0	0	8	Não
Unidade da Federação	Piauí (PI)	1	33,33	0	0	2	66,67	0	0	3	Não
Unidade da Federação	Ceará (CE)	22	27,16	0	0	59	72,84	0	0	81	Não
Unidade da Federação	Rio Grande do Norte (RN)	14	46,67	1	3,33	15	50	0	0	30	Não
Unidade da Federação	Paraíba (PB)	27	71,05	0	0	11	28,95	0	0	38	Não
Unidade da Federação	Pernambuco (PE)	18	41,86	2	4,65	23	53,49	0	0	43	Não
Unidade da Federação	Alagoas (AL)	14	38,89	1	2,78	21	58,33	0	0	36	Não
Unidade da Federação	Sergipe (SE)	1	7,69	1	7,69	11	84,62	0	0	13	Não
Unidade da Federação	Bahia (BA)	65	63,11	2	1,94	36	34,95	0	0	103	Sim
Região	Nordeste	168	47,32	7	1,97	180	50,7	0	0	355	-
Unidade da Federação	Minas Gerais (MG)	106	54,92	2	1,04	85	44,04	0	0	193	Não
Unidade da Federação	Espírito Santo (ES)	51	69,86	1	1,37	21	28,77	0	0	73	Não
Unidade da Federação	Rio de Janeiro (RJ)*	95	35,71	24	9,02	147	55,26	0	0	266	Sim
Unidade da Federação	São Paulo (SP)**	1125	62,09	136	7,51	551	30,41	0	0	1812	Sim
Região	Sudeste	1377	58,75	163	6,95	804	34,3	0	0	2344	-
Unidade da Federação	Paraná (PR)	80	58,82	6	4,41	50	36,76	0	0	136	Não
Unidade da Federação	Santa Catarina (SC)	102	68,46	6	4,03	41	27,52	0	0	149	Não
Unidade da Federação	Rio Grande do Sul (RS)	66	22,84	6	2,08	217	75,09	0	0	289	Não
Região	Sul	248	43,21	18	3,14	308	53,66	0	0	574	-
Unidade da Federação	Mato Grosso do Sul (MS)	15	48,39	0	0	16	51,61	0	0	31	Não
Unidade da Federação	Mato Grosso (MT)	8	53,33	0	0	7	46,67	0	0	15	Não
Unidade da Federação	Goiás (GO)	4	7,14	3	5,36	49	87,5	0	0	56	Não
Unidade da Federação	Distrito Federal (DF)	81	45	8	4,44	91	50,56	0	0	180	Não
Região	Centro-Oeste	108	38,3	11	3,9	163	57,8	0	0	282	-
País	Brasil	1913	53,15	200	5,56	1486	41,29	0	0	3599	-
											
Observações											
*Transmissão comunitária no município do Rio de Janeiro											
**Transmissão comunitária no município de São Paulo.											
											
Fonte											
Ministério da Saúde											
Dados atualizados em 15/03/2020 às 19:15											
