Abrangência	Nome	Casos confirmados	Óbitos	Secretarias da Saúde
Unidade da Federação	Acre (AC)	11		11
Unidade da Federação	Alagoas (AL)	7		7
Unidade da Federação	Amapá (AP)	1		1
Unidade da Federação	Amazonas (AM)	26		26
Unidade da Federação	Bahia (BA)	49		55
Unidade da Federação	Ceará (CE)	112		125
Unidade da Federação	Distrito Federal (DF)	117		117
Unidade da Federação	Espírito Santo (ES)	26		26
Unidade da Federação	Goiás (GO)	21		18
Unidade da Federação	Maranhão (MA)	2		2
Unidade da Federação	Mato Grosso (MT)	2		2
Unidade da Federação	Mato Grosso do Sul (MS)	21		21
Unidade da Federação	Minas Gerais (MG)	83		83
Unidade da Federação	Pará (PA)	4		4
Unidade da Federação	Paraíba (PB)	1		1
Unidade da Federação	Paraná (PR)	50		43
Unidade da Federação	Pernambuco (PE)	37		33
Unidade da Federação	Piauí (PI)	4		4
Unidade da Federação	Rio de Janeiro (RJ)*	186	3	119
Unidade da Federação	Rio Grande do Norte (RN)	9		9
Unidade da Federação	Rio Grande do Sul (RS)	72		77
Unidade da Federação	Rondônia (RO)	3		3
Unidade da Federação	Roraima (RR)	2		2
Unidade da Federação	Santa Catarina (SC)	57		57
Unidade da Federação	São Paulo (SP)**	631	22	631
Unidade da Federação	Sergipe (SE)	10		10
Unidade da Federação	Tocantins (TO)	2		2
