Abrangência	Nome	Casos confirmados	Óbitos
Unidade da Federação	Acre (AC)	3	
Unidade da Federação	Alagoas (AL)	4	
Unidade da Federação	Amapá (AP)	0	
Unidade da Federação	Amazonas (AM)	3	
Unidade da Federação	Bahia (BA)	30	
Unidade da Federação	Ceará (CE)	20	
Unidade da Federação	Distrito Federal (DF)	42	
Unidade da Federação	Espírito Santo (ES)	11	
Unidade da Federação	Goiás (GO)	12	
Unidade da Federação	Maranhão (MA)	0	
Unidade da Federação	Mato Grosso (MT)	0	
Unidade da Federação	Mato Grosso do Sul (MS)	7	
Unidade da Federação	Minas Gerais (MG)	29	
Unidade da Federação	Pará (PA)	1	
Unidade da Federação	Paraíba (PB)	1	
Unidade da Federação	Paraná (PR)	23	
Unidade da Federação	Pernambuco (PE)	28	
Unidade da Federação	Piauí (PI)	0	
Unidade da Federação	Rio de Janeiro (RJ)*	65	2
Unidade da Federação	Rio Grande do Norte (RN)	1	
Unidade da Federação	Rio Grande do Sul (RS)	28	
Unidade da Federação	Rondônia (RO)	0	
Unidade da Federação	Roraima (RR)	0	
Unidade da Federação	Santa Catarina (SC)	20	
Unidade da Federação	São Paulo (SP)**	286	2
Unidade da Federação	Sergipe (SE)	6	
Unidade da Federação	Tocantins (TO)	1	
