Abrangência	Nome	Casos confirmados	Óbitos
Unidade da Federação	Acre (AC)	7	
Unidade da Federação	Alagoas (AL)	5	
Unidade da Federação	Amapá (AP)	1	
Unidade da Federação	Amazonas (AM)	3	
Unidade da Federação	Bahia (BA)	33	
Unidade da Federação	Ceará (CE)	55	
Unidade da Federação	Distrito Federal (DF)	87	
Unidade da Federação	Espírito Santo (ES)	13	
Unidade da Federação	Goiás (GO)	15	
Unidade da Federação	Maranhão (MA)	0	
Unidade da Federação	Mato Grosso (MT)	1	
Unidade da Federação	Mato Grosso do Sul (MS)	9	
Unidade da Federação	Minas Gerais (MG)	35	
Unidade da Federação	Pará (PA)	2	
Unidade da Federação	Paraíba (PB)	1	
Unidade da Federação	Paraná (PR)	32	
Unidade da Federação	Pernambuco (PE)	30	
Unidade da Federação	Piauí (PI)	3	
Unidade da Federação	Rio de Janeiro (RJ)*	109	2
Unidade da Federação	Rio Grande do Norte (RN)	1	
Unidade da Federação	Rio Grande do Sul (RS)	37	
Unidade da Federação	Rondônia (RO)	1	
Unidade da Federação	Roraima (RR)	0	
Unidade da Federação	Santa Catarina (SC)	21	
Unidade da Federação	São Paulo (SP)**	396	9
Unidade da Federação	Sergipe (SE)	6	
Unidade da Federação	Tocantins (TO)	1	
