Abrangência	Nome	Casos confirmados	Óbitos	Secretarias da Saúde
Unidade da Federação	Acre (AC)	11		17
Unidade da Federação	Alagoas (AL)	7		8
Unidade da Federação	Amapá (AP)	1		1
Unidade da Federação	Amazonas (AM)	32		32
Unidade da Federação	Bahia (BA)	63		63
Unidade da Federação	Ceará (CE)	163		164
Unidade da Federação	Distrito Federal (DF)	133		135
Unidade da Federação	Espírito Santo (ES)	29		33
Unidade da Federação	Goiás (GO)	23		23
Unidade da Federação	Maranhão (MA)	2		2
Unidade da Federação	Mato Grosso (MT)	2		6
Unidade da Federação	Mato Grosso do Sul (MS)	21		21
Unidade da Federação	Minas Gerais (MG)	128		128
Unidade da Federação	Pará (PA)	5		5
Unidade da Federação	Paraíba (PB)	2		2
Unidade da Federação	Paraná (PR)	56		60
Unidade da Federação	Pernambuco (PE)	42		42
Unidade da Federação	Piauí (PI)	6		6
Unidade da Federação	Rio de Janeiro (RJ)*	233	4	233
Unidade da Federação	Rio Grande do Norte (RN)	13		13
Unidade da Federação	Rio Grande do Sul (RS)	86		96
Unidade da Federação	Rondônia (RO)	3		3
Unidade da Federação	Roraima (RR)	2		2
Unidade da Federação	Santa Catarina (SC)	68		86
Unidade da Federação	São Paulo (SP)**	745	30	745
Unidade da Federação	Sergipe (SE)	10		10
Unidade da Federação	Tocantins (TO)	5		5
