Abrangência	Nome	Casos suspeitos	Casos confirmados	% Casos suspeitos	% Casos confirmados	Casos descartados	% Casos descartados	Óbitos	% Óbitos	Total	Transmissão local
Unidade da Federação	Amapá (AP)	0	0	0	0	0	0	0	0	2	Não
Unidade da Federação	Roraima (RR)	0	0	0	0	0	0	0	0	2	Não
Unidade da Federação	Rondônia (RO)	2	0								
Unidade da Federação	Acre (AC)	3	0								
Unidade da Federação	Amazonas (AM)	1	0								
Unidade da Federação	Pará (PA)	5	0								
Unidade da Federação	Tocantins (TO)	0	0								
Região	Norte	11	0								
Unidade da Federação	Maranhão (MA)	6	0								
Unidade da Federação	Piauí (PI)	1	0								
Unidade da Federação	Ceará (CE)	22	0								
Unidade da Federação	Rio Grande do Norte (RN)	12	0								
Unidade da Federação	Paraíba (PB)	10	0								
Unidade da Federação	Pernambuco (PE)	18	0								
Unidade da Federação	Alagoas (AL)	6	1								
Unidade da Federação	Sergipe (SE)	2	0								
Unidade da Federação	Bahia (BA)	65	2								
Região	Nordeste	142	3								
Unidade da Federação	Minas Gerais (MG)	117	1								
Unidade da Federação	Espírito Santo (ES)	51	1								
Unidade da Federação	Rio de Janeiro (RJ)*	76	16								
Unidade da Federação	São Paulo (SP)**	714	41								
Região	Sudeste	958	59								
Unidade da Federação	Paraná (PR)	54	0								
Unidade da Federação	Santa Catarina (SC)	67	0								
Unidade da Federação	Rio Grande do Sul (RS)	82	4								
Região	Sul	203	4								
Unidade da Federação	Mato Grosso do Sul (MS)	9	0								
Unidade da Federação	Mato Grosso (MT)	1	0								
Unidade da Federação	Goiás (GO)	16	0								
Unidade da Federação	Distrito Federal (DF)	82	2								
Região	Centro-Oeste	108	2								
País	Brasil	1427	76								
											
Observações											
*Transmissão comunitária no município do Rio de Janeiro											
**Transmissão comunitária no município de São Paulo.											
											
Fonte											
Ministério da Saúde											
Dados atualizados em 14/03/2020 às 16:25											
