Abrangência	Nome	Casos confirmados	Óbitos
Unidade da Federação	Acre (AC)	25	
Unidade da Federação	Alagoas (AL)	14	
Unidade da Federação	Amapá (AP)	4	
Unidade da Federação	Amazonas (AM)	111	1
Unidade da Federação	Bahia (BA)	128	
Unidade da Federação	Ceará (CE)	314	4
Unidade da Federação	Distrito Federal (DF)	260	
Unidade da Federação	Espírito Santo (ES)	53	
Unidade da Federação	Goiás (GO)	56	1
Unidade da Federação	Maranhão (MA)	14	
Unidade da Federação	Mato Grosso (MT)	13	
Unidade da Federação	Mato Grosso do Sul (MS)	31	
Unidade da Federação	Minas Gerais (MG)	205	
Unidade da Federação	Pará (PA)	17	
Unidade da Federação	Paraíba (PB)	14	
Unidade da Federação	Paraná (PR)	133	2
Unidade da Federação	Pernambuco (PE)	68	5
Unidade da Federação	Piauí (PI)	11	1
Unidade da Federação	Rio de Janeiro (RJ)*	558	13
Unidade da Federação	Rio Grande do Norte (RN)	45	
Unidade da Federação	Rio Grande do Sul (RS)	197	2
Unidade da Federação	Rondônia (RO)	6	
Unidade da Federação	Roraima (RR)	12	
Unidade da Federação	Santa Catarina (SC)	184	1
Unidade da Federação	São Paulo (SP)**	1406	84
Unidade da Federação	Sergipe (SE)	16	
Unidade da Federação	Tocantins (TO)	9	
		3904	
