Abrangência	Nome	Casos confirmados	Óbitos	Secretarias da Saúde
Unidade da Federação	Acre (AC)	23		21
Unidade da Federação	Alagoas (AL)	11		10
Unidade da Federação	Amapá (AP)	1		1
Unidade da Federação	Amazonas (AM)	54	1	54
Unidade da Federação	Bahia (BA)	84		91
Unidade da Federação	Ceará (CE)	200		211
Unidade da Federação	Distrito Federal (DF)	160		182
Unidade da Federação	Espírito Santo (ES)	39		40
Unidade da Federação	Goiás (GO)	29		29
Unidade da Federação	Maranhão (MA)	8		8
Unidade da Federação	Mato Grosso (MT)	8		7
Unidade da Federação	Mato Grosso do Sul (MS)	24		24
Unidade da Federação	Minas Gerais (MG)	133		133
Unidade da Federação	Pará (PA)	7		7
Unidade da Federação	Paraíba (PB)	3		3
Unidade da Federação	Paraná (PR)	81		70
Unidade da Federação	Pernambuco (PE)	46	1	46
Unidade da Federação	Piauí (PI)	8		8
Unidade da Federação	Rio de Janeiro (RJ)*	370	6	370
Unidade da Federação	Rio Grande do Norte (RN)	14		14
Unidade da Federação	Rio Grande do Sul (RS)	123		112
Unidade da Federação	Rondônia (RO)	5		5
Unidade da Federação	Roraima (RR)	8		8
Unidade da Federação	Santa Catarina (SC)	109		109
Unidade da Federação	São Paulo (SP)**	862	40	810
Unidade da Federação	Sergipe (SE)	16		16
Unidade da Federação	Tocantins (TO)	7		7
				2396
